rowid,my_crossing_reference,road_tenure,transport_line_structured_name_1,my_road_tenure
5,8301039,,, Unclassified
6,8302422,,,BCTS 8243
7,8302064,,Helen Lake Rd,BCTS 8243
8,8302070,,Helen Lake Rd,BCTS 8243
9,8302074,,Helen Lake Rd,BCTS 8243
10,8300115,,Helen Lake Rd,MoTi  Local
11,8300162,,Poplar Park Rd,MoTi  Local
12,2798180,,Poplar Park Rd,MoTi  Local
13,8300161,,Poplar Park Rd,MoTi  Local
14,8300124,,Kispiox Valley Rd,MoTi  Local
15,8302683,,,BCTS 8904
16,8302061,,,Gitxsan Forest R02415
17,8302062,,,Gitxsan Forest R02415
18,8301747,,Kuldo FSR,MoF 7871
19,8301750,,Kuldo FSR,MoF 7871
20,8301761,,Kuldo FSR,MoF 7871
21,8300186,,Kispiox Westside Rd,MoTi  Local
22,8300105,,Kispiox Valley Rd,MoTi  Local
23,8300104,,Kispiox Valley Rd,MoTi  Local
24,8300103,,Kispiox Valley Rd,MoTi  Local
25,8300012,,Moore Rd,MoTi  Local
26,8300917,,, Unclassified
27,8300188,,Hwy 37,MoTi  Highway 
28,2022090901,,, Unclassified
29,8302421,,,BCTS 8243
30,8302065,,Helen Lake Rd,BCTS 8243
31,8300118,,Helen Lake Rd,MoTi  Local
32,2022090501,MoTi,Poplar Park Rd,MoTi  Local
33,8300030,,Kispiox Valley Rd,MoTi  Local
34,8300111,,Kispiox Valley Rd,MoTi  Local
35,8302403,,,MoF 9657
36,8302407,,Mitten Mainline,MoF 9657
37,8301754,,Kuldo FSR,MoF 7871
38,8301749,,Kuldo FSR,MoF 7871
39,8301748,,Kuldo FSR,MoF 7871
40,8300042,,Kispiox Westside Rd,MoTi  Local
41,8300054,MoTi,Kispiox Valley Rd,MoTi  Arterial 
42,8301485,Sik E Dakh,, Resource
43,2787053,MoTi,Kispiox Valley Rd,MoTi  Local
44,8300033,MoTI,Seventeen Mile Rd,MoTi  Local
45,8300095,MoTi,Hwy 37,MoTi  Highway 
46,8300178,MoTi,11A Ave,MoTi  Local
47,8302257,,Babine Slide FSR,MoF 4841
48,8300238,,, Resource
49,4601067,,Hankin FSR,MoF 7552
50,8300128,,,MoF 4841
51,4709789,,Babine Slide FSR,MoF 4841
52,24709790,,,MoF 4841
53,8302244,,,MoF 4841
54,8300390,,, Unclassified
55,8300108,,Kispiox Valley Rd,MoTi  Local
56,8302755,,,BCTS 10121
57,8302410,,Mitten Mainline,MoF 9657
58,8302779,,,MoF 7871
59,8301892,,,MoF 7871
60,8302212,,,Kispiox River Timber R11351
61,8301994,,Kitwancool Branch 2 FSR,MoF 8687
62,4600909,,McDonell Lake FSR,MoF 7552
63,4600907,,McDonell Lake FSR,MoF 7552
64,4742005,BCTS,,MoF 7552
65,8300090,MoTi,Hwy 37,MoTi  Highway 
