rowname,site,location,fish,stream_crossing_id,site_corrected
1,8543,ds,,8543,8543_ds
2,8547,ds,,8547,8547_ds
3,197378,ds,ef1,197378,197378_ds_ef1
4,197378,us,ef1,197378,197378_us_ef1
5,197360,ds,ef1,197360,197360_ds_ef1
6,197360,us,ef1,197360,197360_us_ef1
7,123377,us,ef1,123377,123377_us_ef1
8,123377,us,ef2,123377,123377_us_ef2
9,123377,us,ef3,123377,123377_us_ef3
10,123377,ds,ef1,123377,123377_ds_ef1
11,123377,ds,ef2,123377,123377_ds_ef2
12,14001106,us,,198942,198942_us
13,14000571,ds,,198934,198934_ds
14,8525,ds,ef1,8525,8525_ds_ef1
15,8525,ds,ef2,8525,8525_ds_ef2
16,8525,ds,ef3,8525,8525_ds_ef3
17,8525,us,ef1,8525,8525_us_ef1
18,8525,us,ef2,8525,8525_us_ef2
19,8525,us,ef3,8525,8525_us_ef3
20,8478,ds,ef1,8478,8478_ds_ef1
21,8478,ds,ef2,8478,8478_ds_ef2
22,8478,ds,ef3,8478,8478_ds_ef3
23,8478,us,,8478,8478_us
24,8547,us,,8547,8547_us
25,8547,ds,ef1,8547,8547_ds_ef1
26,8547,ds,ef2,8547,8547_ds_ef2
27,8547,ds,ef3,8547,8547_ds_ef3
28,8547,us,ef1,8547,8547_us_ef1
29,8547,us,ef2,8547,8547_us_ef2
30,8547,us,ef3,8547,8547_us_ef3
31,198215,ds,ef1,198215,198215_ds_ef1
32,198215,ds,ef2,198215,198215_ds_ef2
33,198215,ds,ef3,198215,198215_ds_ef3
34,198215,us,ef1,198215,198215_us_ef1
35,198215,us,ef2,198215,198215_us_ef2
36,198215,us,ef3,198215,198215_us_ef3
37,198217,us,ef1,198217,198217_us_ef1
38,198217,us,ef2,198217,198217_us_ef2
39,198217,us,ef3,198217,198217_us_ef3
40,198217,ds,ef1,198217,198217_ds_ef1
41,198217,ds,ef2,198217,198217_ds_ef2
42,198217,ds,ef3,198217,198217_ds_ef3
43,197949,us,,197949,197949_us
44,198022,ds,,198022,198022_ds
45,123377,ds,ef3,123377,123377_ds_ef3
46,124500,ds,ef1,124500,124500_ds_ef1
47,124500,ds,ef2,124500,124500_ds_ef2
48,124500,ds,ef3,124500,124500_ds_ef3
49,124500,us,ef3,124500,124500_us_ef3
50,124500,us,ef1,124500,124500_us_ef1
51,124500,us,ef2,124500,124500_us_ef2
52,14000571,us,,198934,198934_us
53,8525,ds,,8525,8525_ds
54,8525,us,,8525,8525_us
55,8525,us2,,8525,8525_us2
56,8547,ds2,,8547,8547_ds2
57,8478,ds,,8478,8478_ds
58,24601280,us,,198947,198947_us
59,24601280,ds,,198947,198947_ds
60,8543,us,,8543,8543_us
61,58067,ds,,58067,58067_ds
62,58067,ds2,,58067,58067_ds2
63,198022,us,,198022,198022_us
64,198022,ds,ef1,198022,198022_ds_ef1
65,198022,us,ef1,198022,198022_us_ef1
66,123377,ds,ef4,123377,123377_ds_ef4
67,123377,ds,ef5,123377,123377_ds_ef5
68,123377,ds,ef6,123377,123377_ds_ef6
